Season No,No,Template,Number of Players,Harmony Player,Rank,Percentile,Games,Wins,Defeats,Win Rate,,
51,LI,Hopscotch,429,Bechaa,4,0.991,20,17,3,85,,
53,LIII,Strategic Greece,442,Texx,6,0.986,20,16,4,80,,
54,LIV,Trippel-Tafl No Fog,285,Texx,6,0.979,20,14,6,65,,
44,XLIV,SE 1W,900,#BanPlajer,24,0.973,21,16,5,76.19047619,,
46,XLVI,Belarus,635,καλλιστηι,19,0.970,20,17,3,85,,
43,XLIII,Great Lakes,356,Bechaa,11,0.969,20,15,5,75,,
48,XLVIII,Elitist Africa,517,denna.,17,0.967,20,16,4,80,,
45,XLV,Numenor,795,kishu,31,0.961,20,17,3,85,,
5,V,Battle Islands V,123,Hypnotic,5,0.959,20,15,5,75,,
45,XLV,Numenor,795,FluDhs,33,0.959,20,14,6,70,,
52,LII,Guiroma,548,psinoza,28,0.949,20,12,8,60,,
46,XLVI,Belarus,635,kishu,35,0.945,20,17,3,85,,
37,XXXVII,Earthsea,258,denna.,15,0.942,20,14,6,70,,
46,XLVI,Belarus,635,FluDhs,42,0.934,20,13,7,65,,
46,XLVI,Belarus,635,denna.,45,0.929,20,13,7,65,,
42,XLII,Unicorn Island,324,Bechaa,24,0.926,20,12,8,60,,
4,IV,Strat ME 0% WR,119,Hypnotic,9,0.924,20,14,6,70,,
40,XL,Landria,366,denna.,28,0.924,20,13,7,65,,
41,XLI,Yorkshire,361,denna.,28,0.922,20,13,7,65,,
51,LI,Hopscotch,429,denna.,35,0.918,20,13,7,65,,
52,LII,Guiroma,548,FluDhs,45,0.918,20,14,6,70,,
54,LIV,Trippel-Tafl No Fog,285,Chrisromefighter,24,0.916,20,13,7,65,,
53,LIII,Strategic Greece,442,psinoza,38,0.914,20,14,6,70,,
43,XLIII,Great Lakes,356,FluDhs,31,0.913,20,12,8,60,,
47,XLVII,Antarctica,548,denna.,48,0.912,20,14,6,70,,
43,XLIII,Great Lakes,356,denna.,32,0.910,21,14,7,66.66666667,,
48,XLVIII,Elitist Africa,517,FluDhs,50,0.903,20,13,7,65,,
49,XLIX,Battle Islands V,489,FluDhs,48,0.902,20,12,8,60,,
54,LIV,Trippel-Tafl No Fog,285,Sapk,29,0.898,20,12,8,60,,
44,XLIV,SE 1W,900,denna.,94,0.896,20,11,9,55,,
36,XXXVI,Timid Land,257,denna.,27,0.895,20,13,7,65,,
49,XLIX,Battle Islands V,489,denna.,54,0.890,20,12,8,60,,
53,LIII,Strategic Greece,442,denna.,52,0.882,20,11,9,55,,
44,XLIV,SE 1W,900,FluDhs,106,0.882,20,12,8,60,,
47,XLVII,Antarctica,548,FluDhs,69,0.874,20,12,8,60,,
54,LIV,Trippel-Tafl No Fog,285,Bodski,38,0.867,20,14,6,65,,
39,XXXIX,Georgia AC,279,denna.,38,0.864,20,13,7,65,,
51,LI,Hopscotch,429,FluDhs,59,0.863,20,13,7,65,,
44,XLIV,SE 1W,900,Captain Abraham Bartholomew,124,0.862,20,13,7,65,,
45,XLV,Numenor,795,PinkBladder,113,0.858,21,14,7,66.66666667,,
53,LIII,Strategic Greece,442,Chrisromefighter,63,0.858,20,12,8,60,,
48,XLVIII,Elitist Africa,517,καλλιστηι,74,0.857,21,15,6,71.42857143,,
50,L,French Brawl,476,denna.,73,0.847,20,12,8,60,,
50,L,French Brawl,476,FluDhs,79,0.834,20,12,8,60,,
